,Postcode,PERCENT PACIFIC ISLANDER,PERCENT HISPANIC LATINO,PERCENT AMERICAN INDIAN,PERCENT ASIAN NON HISPANIC,PERCENT WHITE NON HISPANIC,PERCENT BLACK NON HISPANIC,PERCENT OTHER ETHNICITY,PERCENT ETHNICITY UNKNOWN,Organization Name,Borough,Latitude,Longitude,Total Final Award
0,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"ASDT, Inc. - The American Spanish Dance Theatre",Manhattan,,,28140
1,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Alpha Workshops, Inc.",Manhattan,40.748417,-73.994222,62500
2,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Aperture Foundation, Inc.",Manhattan,40.750893,-74.003934,18540
3,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Art Resources Transfer,Manhattan,40.750094,-74.003999,15000
4,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Art Start, Inc.",Manhattan,40.750094,-74.003999,23660
5,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Art21, Inc.",Manhattan,40.748299,-73.993937,44840
6,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Asian American Writers' Workshop,Manhattan,40.74568,-73.991602,31250
7,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,CUE Art Foundation,Manhattan,40.744681,-73.99302,19950
8,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Center for Book Arts, Inc.",Manhattan,40.744785,-73.989491,108800
9,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Chamber Music America, Inc.",Manhattan,40.747475,-73.986278,30900
10,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Cities at Peace, Inc.",Manhattan,40.745628,-73.991479,34750
11,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"E. Monte Motion, Inc.",Manhattan,40.752295,-73.993402,25740
12,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Emerging Artists Theatre Company,Manhattan,40.74515,-73.988383,7500
13,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"En Garde Arts, Inc.",Manhattan,,,19950
14,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Global Action Project, Inc.",Manhattan,40.744615,-73.992909,20720
15,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Greenwich House, Inc.",Manhattan,40.748848,-73.993377,18340
16,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Hudson Guild, Inc.",Manhattan,40.749196,-74.001815,15000
17,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"InterSchool Orchestras of New York, Inc.",Manhattan,40.745831,-73.991916,32250
18,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,International Print Center New York,Manhattan,40.750094,-74.003999,19950
19,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Living Traditions, Inc.",Manhattan,40.745623,-73.995254,7500
20,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Midori Foundation, Inc.",Manhattan,40.748208,-73.992663,235640
21,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,NYC SALT,Manhattan,40.748148,-73.993623,33250
22,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"New Festival, Inc.",Brooklyn,,,57260
23,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"New Group, Inc.",Manhattan,40.752171,-73.991377,18000
24,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"New York Festival of Song, Inc.",Manhattan,40.746869,-73.993616,22500
25,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"No Longer Empty, Inc.",Queens,,,21570
26,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"OPERA America, Inc.",Manhattan,40.747549,-73.993143,28750
27,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Opening Act, Inc.",Manhattan,,,54580
28,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Pick Up Performance Company, Inc.",Manhattan,40.754022,-73.997842,19950
29,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Printed Matter, Inc.",Manhattan,40.750489,-74.005858,44540
30,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Shed NYC, Inc.",Manhattan,40.752841,-74.002812,28250
31,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Stella Adler Studio of Acting,Manhattan,40.744747,-73.989354,32570
32,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"TADA! Theater and Dance Alliance, Inc.",Manhattan,40.74515,-73.988383,41250
33,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Theatreworks/USA Corp.,Manhattan,40.747327,-73.991678,29310
34,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,"Visual AIDS for the Arts, Inc.",Manhattan,40.750094,-74.003999,46150
35,10001,0.00,0.36,0.00,0.07,0.02,0.48,0.07,0.00,Winter Film Awards,Manhattan,40.749256,-73.98648,7500
36,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,ABC No Rio,Manhattan,40.718943,-73.986122,8850
37,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Artists Alliance, Inc.",Manhattan,40.718943,-73.986122,22130
38,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Arts for Art, Inc.",Manhattan,40.718943,-73.986122,31250
39,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,Chelsea Film Festival,Manhattan,40.719143,-73.986984,5000
40,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Chinese Music Ensemble of New York, Inc.",Manhattan,,,8370
41,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Dance Parade, Inc.",Manhattan,40.712914,-73.977769,32950
42,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Dynamic Forms, Inc.",Manhattan,40.718943,-73.986122,63100
43,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,"Educational Alliance, Inc.",Manhattan,40.714211,-73.988302,18980
44,10002,0.00,0.03,0.00,0.80,0.17,0.00,0.00,0.00,Henry Street Settlement,Manhattan,40.713857,-73.984532,235970
